price,area,flat_toilets,balcony,current_floors,total_floors,ceiling,dorm,mortgage,year,type_of_house,repair_status,distance_to_center
15135000.0,50.45,совмещенный,нет,2.0,9.0,2.7,нет,нет,2025,кирпичный,частично,3.716
23283000.0,77.61,раздельный,нет,3.0,9.0,2.7,нет,нет,2025,кирпичный,частично,3.716
18447000.0,61.49,совмещенный,нет,2.0,9.0,2.7,нет,нет,2025,кирпичный,частично,3.716
13392000.0,43.2,раздельный,лоджия,4.0,9.0,2.7,нет,нет,2024,кирпичный,частично,2.003
17700000.0,40.5,совмещенный,нет,1.0,5.0,2.7,нет,нет,2023,кирпичный,без мебели,1.64
13500000.0,65.5,раздельный,нет,2.0,5.0,2.7,нет,нет,1974,кирпичный,без мебели,2.111
65000000.0,107.7,раздельный,нет,3.0,7.0,3.2,нет,нет,2020,кирпичный,частично,1.785
15000000.0,56.0,совмещенный,балкон,4.0,4.0,2.7,нет,нет,1966,кирпичный,частично,2.078
19000000.0,70.0,раздельный,нет,1.0,6.0,2.5,нет,нет,1992,панельный,частично,2.109
21500000.0,48.2,раздельный,нет,2.0,9.0,2.85,нет,нет,2022,кирпичный,полностью,1.884
22250000.0,73.0,раздельный,нет,4.0,5.0,2.7,нет,нет,1987,кирпичный,полностью,2.558
13500000.0,46.0,раздельный,нет,1.0,5.0,2.7,нет,нет,1999,кирпичный,частично,3.552
9500000.0,36.0,совмещенный,нет,5.0,9.0,2.7,нет,нет,1984,кирпичный,частично,3.071
15000000.0,51.3,раздельный,нет,8.0,9.0,3.0,нет,нет,2021,кирпичный,частично,2.159
14700000.0,48.71,раздельный,нет,2.0,9.0,2.7,нет,нет,2024,кирпичный,частично,1.294
17000000.0,62.8,раздельный,нет,6.0,6.0,2.7,нет,нет,1989,панельный,полностью,1.783
25000000.0,56.0,совмещенный,нет,5.0,9.0,2.7,нет,нет,2020,кирпичный,полностью,0.641
50500000.0,101.7,2 с/у и более,нет,8.0,9.0,2.7,нет,нет,2017,кирпичный,полностью,1.079
18000000.0,58.3,совмещенный,нет,2.0,5.0,2.7,нет,нет,2022,кирпичный,без мебели,3.296
10300000.0,43.0,совмещенный,нет,3.0,5.0,2.5,нет,нет,1964,кирпичный,частично,0.715
18500000.0,77.6,раздельный,нет,6.0,6.0,2.5,нет,нет,1990,иной,полностью,2.726
9000000.0,29.4,совмещенный,нет,2.0,5.0,2.7,нет,нет,1978,панельный,полностью,3.792
9300000.0,36.8,совмещенный,нет,1.0,5.0,2.7,нет,нет,1978,панельный,частично,3.602
79198709.0,110.3,раздельный,нет,9.0,10.0,3.4,нет,нет,2020,кирпичный,частично,0.507
19000000.0,71.7,раздельный,нет,4.0,9.0,2.7,нет,нет,2023,кирпичный,частично,4.193
23500000.0,72.0,совмещенный,нет,2.0,9.0,2.7,нет,нет,2024,кирпичный,частично,1.132
18500000.0,60.0,раздельный,нет,2.0,9.0,2.7,нет,нет,2019,кирпичный,частично,4.447
18500000.0,43.0,совмещенный,нет,2.0,9.0,2.7,нет,нет,2022,кирпичный,частично,1.324
